,rpmSetPoint,CurrentPeak,UTE,@timestamp,numTP,statoRot,statorCelsius,DIAM,idChiave,bearingsCelsius,ist_acc,spindleRpm,VibromPeak,LUNG
155,18000.0,12.999,FRESA_MDF12,2021-01-22T13:42:50.247Z,1,1,25.0,12.0,3523,22.0,2725779,17999.0,0.7,118.379
156,18000.0,12.97,FRESA_MDF12,2021-01-22T13:45:44.096Z,1,1,26.0,12.0,3524,22.0,2743164,18000.0,0.8,118.379
157,12000.0,13.027,C0621_Z2,2021-01-22T13:49:33.624Z,1,1,32.0,6.0,3525,24.0,2766117,10000.0,0.3,106.469
158,20000.0,12.999,DIA12_16-20Z3V,2021-01-22T14:03:53.378Z,1,1,25.0,12.0,3526,22.0,2852093,19989.0,0.3,120.169
159,20000.0,13.119,DIA12_16-20Z3V,2021-01-22T14:08:57.385Z,1,1,33.0,12.0,3527,25.0,2882494,19991.0,0.6,120.169
160,20000.0,13.246,DIA12_16-20Z3V,2021-01-22T14:44:41.710Z,1,1,23.0,12.0,3528,22.0,3096928,19993.0,0.5,120.169
161,20000.0,13.091,DIA12_16-20Z3V,2021-01-22T14:48:33.448Z,1,1,24.0,12.0,3529,22.0,3120102,20016.0,0.5,120.169
162,20000.0,13.119,DIA12_16-20Z3V,2021-01-22T15:04:05.901Z,1,1,25.0,12.0,3531,22.0,3213348,19993.0,0.3,120.169
163,20000.0,13.246,DIA12_16-20Z3V,2021-01-22T15:29:19.560Z,1,1,24.0,12.0,3532,22.0,3364715,19976.0,0.5,120.169
164,20000.0,13.423,DIA12_16-20Z3V,2021-01-22T15:32:44.129Z,1,1,30.0,12.0,3533,24.0,3385172,19966.0,0.5,120.169
165,20000.0,13.062,DIA12_16-20Z3V,2021-01-22T16:05:54.934Z,1,1,24.0,12.0,3534,22.0,3584254,19993.0,0.6,120.169
166,20000.0,13.183,DIA12_16-20Z3V,2021-01-22T16:09:47.793Z,1,1,28.0,12.0,3535,24.0,3607540,20024.0,0.4,120.169
167,20000.0,13.154,DIA12_16-20Z3V,2021-01-22T16:13:11.511Z,1,1,31.0,12.0,3536,25.0,3627912,19989.0,0.5,120.169
168,12000.0,12.906,SPIANA80,2021-01-25T06:36:34.802Z,1,1,12.0,80.0,3537,10.0,150015,12000.0,0.3,109.76
169,20000.0,13.515,DIA12_16-20Z3V,2021-01-25T06:48:59.142Z,1,1,21.0,12.0,3538,15.0,224448,19970.0,0.3,120.169
170,20000.0,12.878,DIA12_16-20Z3V,2021-01-25T06:50:55.474Z,1,1,20.0,12.0,3539,15.0,236081,19983.0,0.4,120.169
171,20000.0,13.041,DIA12_16-20Z3V,2021-01-25T06:56:06.429Z,1,1,26.0,12.0,3540,18.0,267176,19980.0,0.4,120.169
172,20000.0,13.091,DIA12_16-20Z3V,2021-01-25T07:04:06.236Z,1,1,22.0,12.0,3541,19.0,315156,20008.0,0.4,120.169
173,20000.0,13.041,DIA12_16-20Z3V,2021-01-25T07:09:42.191Z,1,1,24.0,12.0,3542,20.0,348751,19968.0,0.4,120.169
174,20000.0,13.041,DIA12_16-20Z3V,2021-01-25T07:14:49.636Z,1,1,25.0,12.0,3543,21.0,379495,19991.0,0.5,120.169
175,20000.0,13.105,DIA12_16-20Z3V,2021-01-25T07:20:10.721Z,1,1,26.0,12.0,3544,22.0,411603,19970.0,0.5,120.169
176,20000.0,13.168,DIA12_16-20Z3V,2021-01-25T07:28:05.439Z,1,1,26.0,12.0,3545,23.0,459074,20006.0,0.5,120.169
177,20000.0,13.013,DIA12_16-20Z3V,2021-01-25T07:59:19.179Z,1,1,23.0,12.0,3546,21.0,646445,20016.0,0.5,120.169
