,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
58,14.378,24.0,0.0,20.0,0.1,1031,2905609,0.0,186.0,1,M6,2021-01-22T16:54:02.937Z,1,6.0
59,12.21,24.0,750.0,20.0,0.1,1031,2905868,755.0,186.0,1,M6,2021-01-22T16:54:05.527Z,1,6.0
60,13.939,25.0,0.0,20.0,0.1,1031,2906096,0.0,186.0,1,M6,2021-01-22T16:54:07.807Z,1,6.0
61,11.724,25.0,750.0,20.0,0.1,1031,2906365,746.0,186.0,1,M6,2021-01-22T16:54:10.498Z,1,6.0
62,14.443,25.0,0.0,20.0,0.1,1031,2906593,0.0,186.0,1,M6,2021-01-22T16:54:12.778Z,1,6.0
63,12.304,25.0,750.0,20.0,0.1,1031,2906862,752.0,186.0,1,M6,2021-01-22T16:54:15.468Z,1,6.0
64,14.625,26.0,0.0,20.0,0.1,1031,2907090,0.0,186.0,1,M6,2021-01-22T16:54:17.748Z,1,6.0
65,12.257,26.0,750.0,20.0,0.1,1031,2907359,752.0,186.0,1,M6,2021-01-22T16:54:20.438Z,1,6.0
66,14.414,26.0,0.0,20.0,0.1,1031,2907587,0.0,186.0,1,M6,2021-01-22T16:54:22.718Z,1,6.0
67,12.351,26.0,750.0,20.0,0.1,1031,2907856,750.0,186.0,1,M6,2021-01-22T16:54:25.408Z,1,6.0
68,14.027,26.0,0.0,20.0,0.1,1031,2908084,0.0,186.0,1,M6,2021-01-22T16:54:27.688Z,1,6.0
69,11.935,26.0,750.0,20.0,0.1,1031,2908353,750.0,186.0,1,M6,2021-01-22T16:54:30.378Z,1,6.0
70,11.906,26.0,750.0,20.0,0.1,1031,2908850,748.0,186.0,1,M6,2021-01-22T16:54:35.348Z,1,6.0
71,13.986,26.0,0.0,20.0,0.1,1031,2908582,0.0,186.0,1,M6,2021-01-22T16:54:32.668Z,1,6.0
72,11.888,26.0,750.0,20.0,0.1,1031,2909347,749.0,186.0,1,M6,2021-01-22T16:54:40.318Z,1,6.0
73,13.968,26.0,0.0,20.0,0.1,1031,2909078,0.0,186.0,1,M6,2021-01-22T16:54:37.628Z,1,6.0
74,14.378,26.0,0.0,20.0,0.1,1031,2909575,0.0,186.0,1,M6,2021-01-22T16:54:42.598Z,1,6.0
75,11.906,26.0,750.0,20.0,0.1,1031,2909844,753.0,186.0,1,M6,2021-01-22T16:54:45.288Z,1,6.0
76,11.906,27.0,750.0,20.0,0.1,1031,2910342,754.0,186.0,1,M6,2021-01-22T16:54:50.268Z,1,6.0
77,11.859,27.0,750.0,20.0,0.1,1031,2910839,754.0,186.0,1,M6,2021-01-22T16:54:55.238Z,1,6.0
78,14.578,28.0,0.0,20.0,0.1,1031,2911564,0.0,186.0,1,M6,2021-01-22T16:55:02.488Z,1,6.0
79,11.736,28.0,750.0,20.0,0.1,1031,2911833,750.0,186.0,1,M6,2021-01-22T16:55:05.178Z,1,6.0
80,14.654,28.0,0.0,20.0,0.1,1031,2912061,0.0,186.0,1,M6,2021-01-22T16:55:07.459Z,1,6.0
81,14.613,28.0,0.0,20.0,0.1,1031,2912558,0.0,186.0,1,M6,2021-01-22T16:55:12.429Z,1,6.0
82,14.062,29.0,0.0,20.0,0.1,1031,2913055,0.0,186.0,1,M6,2021-01-22T16:55:17.399Z,1,6.0
83,11.888,29.0,750.0,20.0,0.1,1031,2913324,751.0,186.0,1,M6,2021-01-22T16:55:20.089Z,1,6.0
84,14.337,27.0,0.0,20.0,0.1,1031,2910072,0.0,186.0,1,M6,2021-01-22T16:54:47.568Z,1,6.0
85,14.273,28.0,0.0,20.0,0.1,1031,2911067,0.0,186.0,1,M6,2021-01-22T16:54:57.518Z,1,6.0
86,12.304,28.0,750.0,20.0,0.1,1031,2912330,755.0,186.0,1,M6,2021-01-22T16:55:10.149Z,1,6.0
87,14.349,27.0,0.0,20.0,0.1,1031,2910570,0.0,186.0,1,M6,2021-01-22T16:54:52.548Z,1,6.0
88,12.287,28.0,750.0,20.0,0.1,1031,2912827,745.0,186.0,1,M6,2021-01-22T16:55:15.119Z,1,6.0
89,11.888,29.0,750.0,20.0,0.1,1031,2913821,752.0,186.0,1,M6,2021-01-22T16:55:25.059Z,1,6.0
90,11.876,28.0,750.0,20.0,0.1,1031,2911336,753.0,186.0,1,M6,2021-01-22T16:55:00.208Z,1,6.0
91,13.91,29.0,0.0,20.0,0.1,1031,2913552,0.0,186.0,1,M6,2021-01-22T16:55:22.369Z,1,6.0
92,13.921,29.0,0.0,20.0,0.1,1031,2914050,0.0,186.0,1,M6,2021-01-22T16:55:27.349Z,1,6.0
93,11.906,29.0,750.0,20.0,0.1,1031,2914318,750.0,186.0,1,M6,2021-01-22T16:55:30.029Z,1,6.0
94,11.917,30.0,750.0,20.0,0.1,1031,2914815,754.0,186.0,1,M6,2021-01-22T16:55:34.999Z,1,6.0
95,14.367,30.0,0.0,20.0,0.1,1031,2914546,0.0,186.0,1,M6,2021-01-22T16:55:32.309Z,1,6.0
96,14.302,30.0,0.0,20.0,0.1,1031,2915043,0.0,186.0,1,M6,2021-01-22T16:55:37.279Z,1,6.0
97,13.218,27.0,0.0,20.0,0.1,1032,2922682,0.0,186.0,1,M6,2021-01-22T16:56:53.670Z,1,6.0
98,11.66,27.0,750.0,20.0,0.1,1032,2922875,754.0,186.0,1,M6,2021-01-22T16:56:55.601Z,1,6.0
99,13.939,27.0,0.0,20.0,0.1,1032,2923103,0.0,186.0,1,M6,2021-01-22T16:56:57.881Z,1,6.0
