,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
85,29.0,98.349,2.8,3987.0,2021-07-23T01:34:04.013Z,351.0,793806,7175,4000.0,1,0.0,27.775,FRESA350,1
86,30.0,98.349,4.8,4000.0,2021-07-23T01:36:50.276Z,351.0,810432,7175,4000.0,1,0.0,5.239,FRESA350,1
87,30.0,98.349,2.6,3999.0,2021-07-23T01:37:21.427Z,351.0,813547,7175,4000.0,1,0.0,5.921,FRESA350,1
88,34.0,118.0,1.2,18075.0,2021-07-23T01:40:44.260Z,8.9,833830,7176,18000.0,1,0.0,32.146,R9MM_25,1
89,30.0,98.349,2.9,3980.0,2021-07-23T01:43:58.283Z,351.0,853232,7177,4000.0,1,0.0,24.924,FRESA350,1
90,30.0,127.8,0.6,4970.0,2021-07-23T01:44:24.693Z,8.0,855873,7178,5000.0,1,0.0,34.285,R0MM_53,1
91,28.0,259.7,0.6,2018.0,2021-07-23T01:46:48.816Z,16.0,870285,7179,2000.0,1,0.0,30.379,TH_16MM_182,1
92,29.0,98.349,2.5,3968.0,2021-07-23T01:55:31.744Z,351.0,922577,7180,4000.0,1,0.0,24.924,FRESA350,1
93,30.0,98.349,4.0,65535.0,2021-07-23T01:58:13.076Z,351.0,938710,7180,4000.0,1,0.0,6.045,FRESA350,1
94,30.0,98.349,2.0,4001.0,2021-07-23T01:58:45.917Z,351.0,941994,7180,4000.0,1,0.0,0.961,FRESA350,1
95,34.0,118.0,0.9,18011.0,2021-07-23T02:02:09.060Z,8.9,962308,7181,18000.0,1,0.0,32.984,R9MM_25,1
96,30.0,98.349,3.1,3950.0,2021-07-23T02:05:33.993Z,351.0,982801,7182,4000.0,1,0.0,33.201,FRESA350,1
97,30.0,127.8,0.5,4973.0,2021-07-23T02:06:00.564Z,8.0,985458,7183,5000.0,1,0.0,15.252,R0MM_53,1
98,29.0,259.7,0.6,1960.0,2021-07-23T02:07:58.176Z,16.0,997219,7184,2000.0,1,0.0,30.597,TH_16MM_182,1
99,30.0,98.349,2.8,3955.0,2021-07-23T02:16:41.164Z,351.0,1049517,7185,4000.0,1,0.0,16.337,FRESA350,1
100,30.0,98.349,4.9,3999.0,2021-07-23T02:19:26.037Z,351.0,1066004,7185,4000.0,1,0.0,5.611,FRESA350,1
101,30.0,98.349,2.7,4000.0,2021-07-23T02:19:57.207Z,351.0,1069121,7185,4000.0,1,0.0,4.03,FRESA350,1
102,35.0,118.0,1.1,18014.0,2021-07-23T02:23:20.310Z,8.9,1089431,7186,18000.0,1,0.0,38.13,R9MM_25,1
103,30.0,98.349,2.9,3882.0,2021-07-23T02:26:52.664Z,351.0,1110666,7187,4000.0,1,0.0,32.425,FRESA350,1
104,30.0,127.8,0.5,5001.0,2021-07-23T02:27:19.344Z,8.0,1113334,7188,5000.0,1,0.0,33.077,R0MM_53,1
105,27.0,259.7,0.5,1942.0,2021-07-23T02:30:25.657Z,16.0,1131965,7189,2000.0,1,0.0,15.19,TH_16MM_182,1
