,DIAM,rpmSetPoint,statoRot,LUNG,numTP,UTE,ist_acc,CurrentPeak,bearingsCelsius,VibromPeak,idChiave,statorCelsius,spindleRpm,@timestamp
48,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239539,3.332,32.0,0.2,1423,35.0,13843.0,2021-06-29T09:55:13.122Z
49,20.0,14000.0,1,115.739,1,D20_L9_Z2,1245367,3.417,32.0,0.3,1423,35.0,13985.0,2021-06-29T09:56:11.403Z
50,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239521,3.723,32.0,0.2,1423,35.0,13744.0,2021-06-29T09:55:12.942Z
51,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239919,3.485,32.0,0.3,1423,35.0,13987.0,2021-06-29T09:55:16.922Z
52,20.0,14000.0,1,115.739,1,D20_L9_Z2,1249026,3.774,32.0,0.3,1423,35.0,13986.0,2021-06-29T09:56:47.994Z
53,20.0,14000.0,1,115.739,1,D20_L9_Z2,1249117,3.162,32.0,0.2,1423,35.0,13871.0,2021-06-29T09:56:48.904Z
54,20.0,14000.0,1,115.739,1,D20_L9_Z2,1246581,4.267,32.0,0.3,1423,35.0,14014.0,2021-06-29T09:56:23.543Z
55,20.0,14000.0,1,115.739,1,D20_L9_Z2,1251239,2.618,32.0,0.3,1423,35.0,14015.0,2021-06-29T09:57:10.124Z
56,20.0,14000.0,1,115.739,1,D20_L9_Z2,1251283,4.063,32.0,0.3,1423,35.0,13860.0,2021-06-29T09:57:10.564Z
57,20.0,14000.0,1,115.739,1,D20_L9_Z2,1251390,4.08,32.0,0.3,1423,35.0,13997.0,2021-06-29T09:57:11.634Z
58,20.0,14000.0,1,115.739,1,D20_L9_Z2,1251500,3.961,32.0,0.3,1423,35.0,13873.0,2021-06-29T09:57:12.734Z
59,20.0,14000.0,1,115.739,1,D20_L9_Z2,1251561,2.788,32.0,0.2,1423,35.0,13878.0,2021-06-29T09:57:13.344Z
60,20.0,14000.0,1,115.739,1,D20_L9_Z2,1272228,3.162,32.0,0.2,1423,35.0,13870.0,2021-06-29T10:00:40.019Z
61,20.0,14000.0,1,115.739,1,D20_L9_Z2,1272340,3.944,32.0,0.3,1423,35.0,14011.0,2021-06-29T10:00:41.139Z
62,20.0,14000.0,1,115.739,1,D20_L9_Z2,1254047,3.332,32.0,0.2,1423,35.0,13846.0,2021-06-29T09:57:38.205Z
63,20.0,14000.0,1,115.739,1,D20_L9_Z2,1287482,4.063,32.0,0.2,1423,36.0,13816.0,2021-06-29T10:03:12.562Z
64,20.0,14000.0,1,115.739,1,D20_L9_Z2,1287596,3.774,32.0,0.2,1423,36.0,14006.0,2021-06-29T10:03:13.702Z
65,20.0,14000.0,1,115.739,1,D20_L9_Z2,1271452,2.72,32.0,0.2,1423,35.0,13722.0,2021-06-29T10:00:32.258Z
66,20.0,14000.0,1,115.739,1,D20_L9_Z2,1285943,3.553,32.0,0.2,1423,36.0,14006.0,2021-06-29T10:02:57.171Z
67,20.0,14000.0,1,115.739,1,D20_L9_Z2,1285967,3.774,32.0,0.2,1423,36.0,13862.0,2021-06-29T10:02:57.411Z
68,20.0,14000.0,1,115.739,1,D20_L9_Z2,1286040,3.978,32.0,0.2,1423,36.0,13589.0,2021-06-29T10:02:58.141Z
69,20.0,14000.0,1,115.739,1,D20_L9_Z2,1253881,3.077,32.0,0.3,1423,35.0,13998.0,2021-06-29T09:57:36.545Z
70,20.0,14000.0,1,115.739,1,D20_L9_Z2,1271566,3.961,32.0,0.2,1423,35.0,13868.0,2021-06-29T10:00:33.398Z
71,20.0,14000.0,1,115.739,1,D20_L9_Z2,1285993,3.179,32.0,0.2,1423,36.0,13717.0,2021-06-29T10:02:57.671Z
72,20.0,14000.0,1,115.739,1,D20_L9_Z2,1287443,3.706,32.0,0.2,1423,36.0,13583.0,2021-06-29T10:03:12.172Z
73,50.0,8000.0,1,99.952,1,D50_L12_Z4,1878167,20.247,25.0,0.4,1424,25.0,7943.0,2021-06-29T11:41:39.532Z
74,6.0,20000.0,1,135.004,1,D6_L23_Z1,2329881,20.212,25.0,0.9,1425,25.0,19950.0,2021-06-29T12:56:56.764Z
75,4.0,20000.0,1,106.676,1,D4_L18_Z1,2339851,20.179,28.0,0.9,1426,33.0,20042.0,2021-06-29T12:58:36.466Z
76,6.0,20000.0,1,135.004,1,D6_L23_Z1,2397427,20.417,27.0,1.1,1427,27.0,20011.0,2021-06-29T13:08:12.238Z
77,6.0,20000.0,1,135.004,1,D6_L23_Z1,2411863,20.212,28.0,0.5,1428,29.0,19973.0,2021-06-29T13:10:36.600Z
78,6.0,20000.0,1,135.004,1,D6_L23_Z1,2414279,4.981,28.0,0.1,1428,30.0,20022.0,2021-06-29T13:11:00.761Z
79,6.0,20000.0,1,135.004,1,D6_L23_Z1,2414321,6.324,28.0,0.1,1428,30.0,19863.0,2021-06-29T13:11:01.181Z
80,4.0,20000.0,1,106.676,1,D4_L18_Z1,2419918,20.23,30.0,1.7,1429,35.0,19985.0,2021-06-29T13:11:57.152Z
81,4.0,20000.0,1,106.676,1,D4_L18_Z1,2425540,20.212,29.0,0.7,1430,32.0,20008.0,2021-06-29T13:12:53.373Z
82,6.0,20000.0,1,135.004,1,D6_L23_Z1,2497491,20.247,27.0,0.7,1431,25.0,20031.0,2021-06-29T13:24:52.898Z
83,6.0,20000.0,1,135.004,1,D6_L23_Z1,2505834,20.195,27.0,0.5,1432,27.0,20013.0,2021-06-29T13:26:16.330Z
84,6.0,22000.0,1,135.0,1,D6_L23_Z1,2618373,20.179,27.0,1.2,1433,27.0,21989.0,2021-06-29T13:45:01.743Z
85,4.0,20000.0,1,106.68,1,D4_L18_Z1,2633415,20.179,29.0,1.3,1435,32.0,19958.0,2021-06-29T13:47:32.166Z
86,4.0,20000.0,1,106.68,1,D4_L18_Z1,2627169,20.162,28.0,1.4,1434,32.0,19978.0,2021-06-29T13:46:29.704Z
87,4.0,20000.0,1,106.68,1,D4_L18_Z1,2645947,20.212,29.0,1.3,1436,28.0,20029.0,2021-06-29T13:49:37.488Z
